"JIRA project"	"Team"	"Product Owner"	"Dev Lead/Contact"	"First Release"	"Module"	"BE Framework"	"Tests repository"	"DB Usage"	"Kafka Usage"	"Platform(Eureka/OKAPI)"	"ECS(Central/Member/All)/NonECS/Both"	"Application"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/ERM"";""ERM"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/ERM"";""Bienenvolk"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f42d9c43-226d-4aa3-bb31-9b2dd07920aa?ref=confluence"";""Owen Stephens"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d6e8ce134b3d20d9777f8f9?ref=confluence"";""Ethan Freestone"")"		"=HYPERLINK(""https://github.com/folio-org/mod-licenses"";""mod-licenses"")"	"SpringBoot/Grails"	"=HYPERLINK(""https://github.com/folio-org/mod-licenses/tree/master/service/src/integration-test"";""mod-licenses integration tests"")"	"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODOA"";""MODOA"")"	"K-Int"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f42d9c43-226d-4aa3-bb31-9b2dd07920aa?ref=confluence"";""Owen Stephens"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d6e8ce134b3d20d9777f8f9?ref=confluence"";""Ethan Freestone"")"		"=HYPERLINK(""https://github.com/folio-org/mod-oa"";""mod-oa"")"	"SpringBoot/Grails"	"=HYPERLINK(""https://github.com/folio-org/mod-oa/tree/master/service/src/integration-test"";""mod-oa integration tests"")"	"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODSER"";""MODSER"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/ERM"";""Bienenvolk"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f42d9c43-226d-4aa3-bb31-9b2dd07920aa?ref=confluence"";""Owen Stephens"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d6e8ce134b3d20d9777f8f9?ref=confluence"";""Ethan Freestone"")"	"Quesnelia (R1 2024)"	"=HYPERLINK(""https://github.com/folio-org/mod-serials-management"";""mod-serials-management"")"	"SpringBoot/Grails"	"=HYPERLINK(""https://github.com/folio-org/mod-serials-management/tree/master/service/src/integration-test"";""mod-serials-management integration tests"")"	"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/SI"";""SI"")"	"K-Int"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f42d9c43-226d-4aa3-bb31-9b2dd07920aa?ref=confluence"";""Owen Stephens"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d6e8ce134b3d20d9777f8f9?ref=confluence"";""Ethan Freestone"")"		"=HYPERLINK(""https://github.com/folio-org/mod-service-interaction"";""mod-service-interaction"")"	"SpringBoot/Grails"	"=HYPERLINK(""https://github.com/folio-org/mod-service-interaction/tree/master/service/src/integration-test"";""mod-service-interaction integration tests"")"	"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/MODREQMED/summary"";""MODREQMED"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Vega+Team?src=contextnavpagetreemode"";""Vega"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63ca7ffe176040ff3bd287dd?ref=confluence"";""Anne Ekblad"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/712020:12031ab4-cff4-4571-b23b-43dcfc15a6ac?ref=confluence"";""Alexander Kurash"")"	"TBD"	"=HYPERLINK(""https://github.com/folio-org/mod-requests-mediated"";""mod-requests-mediated"")"	"SpringBoot"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/MODTLR/summary"";""MODTLR"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Vega+Team?src=contextnavpagetreemode"";""Vega"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d794c218ce6b60c3810eb8a?ref=confluence"";""Stephanie Buck (Lead)"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/712020:12031ab4-cff4-4571-b23b-43dcfc15a6ac?ref=confluence"";""Alexander Kurash"")"	"TBD"	"=HYPERLINK(""https://github.com/folio-org/mod-tlr"";""mod-tlr"")"	"SpringBoot"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/EDGCOURSES/"";""EDGCOURSES"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/FOLIJET/pages/59048144/Dreamliner"";""Dreamliner"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/62a96ae7192edb006f9f1bf9?ref=confluence"";""Khalilah Gambrell"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/61c21f8ae67ea2006b14a6c4?ref=confluence"";""Radhakrishnan Gopalakrishnan"")"	"Ramsons (R2 2024)"	"=HYPERLINK(""https://github.com/folio-org/edge-courses"";""edge-courses"")"	"Spring"
"EDGUSERS"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/FOLIJET/pages/59048144/Dreamliner"";""Dreamliner"")"		"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/61c21f8ae67ea2006b14a6c4?ref=confluence"";""Radhakrishnan Gopalakrishnan"")"	"Ramsons (R2 2024)"	"=HYPERLINK(""https://github.com/folio-org/edge-users"";""edge-users"")"	"Spring"
"EDGINVENTORY"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/FOLIJET/pages/59048144/Dreamliner"";""Dreamliner"")"		"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/61c21f8ae67ea2006b14a6c4?ref=confluence"";""Radhakrishnan Gopalakrishnan"")"	"Ramsons (R2 2024)"	"=HYPERLINK(""https://github.com/folio-org/edge-inventory"";""edge-inventory"")"	"Spring"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/EDGCSOFT/issues"";""EDGCSOFT"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Volaris+Team"";""Volaris"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d794c218ce6b60c3810eb8a?ref=confluence"";""Stephanie Buck"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63fc4679f00d095406f1e855?ref=confluence"";""Gurleen Kaur1"")"		"=HYPERLINK(""https://github.com/folio-org/edge-caiasoft"";""edge-caiasoft"")"	"Spring"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/EDGDEMATIC"";""EDGDEMATIC"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Volaris+Team"";""Volaris"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d794c218ce6b60c3810eb8a?ref=confluence"";""Stephanie Buck"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63fc4679f00d095406f1e855?ref=confluence"";""Gurleen Kaur1"")"		"=HYPERLINK(""https://github.com/folio-org/edge-dematic"";""edge-dematic"")"	"Spring"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/EDGEDCB/issues"";""EDGEDCB"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Volaris+Team"";""Volaris"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/62e94faeb5b801a9afeeccc1?ref=confluence"";""Tim Auger"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63fc4679f00d095406f1e855?ref=confluence"";""Gurleen Kaur1"")"	"Quesnelia (R1 2024)"	"=HYPERLINK(""https://github.com/folio-org/edge-dcb"";""edge-dcb"")"	"Spring"		"N"	"N"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/EDGFQM/issues/?filter=allopenissues"";""EDGFQM"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Corsair+Team"";""Corsair"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5fd3d8ac692b7901101561d2?ref=confluence"";""Kathleen Moore"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/712020:a7f14445-81bd-4958-98cd-baff1eeb28af?ref=confluence"";""Matt Weaver"")"	"Poppy (R2 2023)"	"edge-fqm"	"Spring"		"N"	"N"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/EDGINREACH"";""EDGINREACH"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Volaris+Team"";""Volaris"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/62e94faeb5b801a9afeeccc1?ref=confluence"";""Tim Auger (Lead)"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63fc4679f00d095406f1e855?ref=confluence"";""Gurleen Kaur1"")"		"edge-inn-reach"	"Spring"
	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/FOLIJET/pages/59048144/Dreamliner"";""Dreamliner"")"		"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/61c21f8ae67ea2006b14a6c4?ref=confluence"";""Radhakrishnan Gopalakrishnan"")"	"Ramsons (R2 2024)"	"=HYPERLINK(""https://github.com/folio-org/edge-erm"";""edge-erm"")"	"Spring"
